cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
8,Totonicapán,803,San Francisco El Alto,2.33373116,0.0,2.33373116,Municipio
8,Totonicapán,804,San Andrés Xecul,0.0,0.0,0.0,Municipio
8,Totonicapán,805,Momostenango,146.48402563,3.87116427,142.61286135999998,Municipio
8,Totonicapán,806,Santa María Chiquimula,248.28388919,0.43213702,247.85175217,Municipio
8,Totonicapán,807,Santa Lucía La Reforma,6.60240154,1.24729601,5.35510553,Municipio
8,Totonicapán,808,San Bartolo Aguas Calientes,22.60933802,0.25911576,22.35022226,Municipio
9,Quetzaltenango,901,Quetzaltenango,40.32408019,0.08649707,40.23758312,Municipio
9,Quetzaltenango,902,Salcajá,0.0,0.0,0.0,Municipio
9,Quetzaltenango,903,Olintepeque,0.06368471,0.0,0.06368471,Municipio
9,Quetzaltenango,904,San Carlos Sija,83.05764373,0.34554696,82.71209677,Municipio
9,Quetzaltenango,905,Sibilia,0.0,0.0,0.0,Municipio
9,Quetzaltenango,906,Cabricán,3.8009408,2.84887204,0.95206876,Municipio
9,Quetzaltenango,907,Cajolá,1.72910637,0.0,1.72910637,Municipio
9,Quetzaltenango,908,San Miguel Sigüila,0.0,0.0,0.0,Municipio
9,Quetzaltenango,909,San Juan Ostuncalco,0.60541326,4.168052070000001,-3.562638810000001,Municipio
9,Quetzaltenango,910,San Mateo,0.0,0.25947796,-0.25947796,Municipio
9,Quetzaltenango,911,Concepción Chiquirichapa,0.17298355,0.10245486,0.07052869,Municipio
9,Quetzaltenango,912,San Martín Sacatepéquez,9.25691971,226.45877611,-217.2018564,Municipio
9,Quetzaltenango,913,Almolonga,12.38359268,0.0,12.38359268,Municipio
9,Quetzaltenango,914,Cantel,1.61401629,0.0,1.61401629,Municipio
9,Quetzaltenango,915,Huitán,0.0,0.0,0.0,Municipio
9,Quetzaltenango,916,Zunil,20.50448777,0.25958454,20.24490323,Municipio
9,Quetzaltenango,917,Colomba,566.19430689,135.10717508,431.08713181,Municipio
9,Quetzaltenango,918,San Francisco La Unión,0.28215782,0.0,0.28215782,Municipio
9,Quetzaltenango,919,El Palmar,231.45912099,2.3372815,229.12183949,Municipio
9,Quetzaltenango,920,Coatepeque,484.50755405,1439.37734044,-954.86978639,Municipio
9,Quetzaltenango,921,Génova,274.70047408,505.44915799,-230.74868391,Municipio
9,Quetzaltenango,922,Flores Costa Cuca,153.14268299,150.29497855,2.847704440000001,Municipio
9,Quetzaltenango,923,La Esperanza,0.17294173,0.0,0.17294173,Municipio
